cod_distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,fecha_month,fecha_day,hora_hour,hora_minute,sexo_Mujer,sexo_Hombre,sexo_Desconocido,tipo_vehiculo_movilidad_urbana_ligera,tipo_vehiculo_vehículos_ligeros_motorizados,tipo_vehiculo_vehículos_personales_y_utilitarios,tipo_vehiculo_transporte_pesado,tipo_vehiculo_remolques,tipo_vehiculo_sin_especificar,rango_edad_0,rango_edad_0-17,rango_edad_18-24,rango_edad_25-34,rango_edad_35-44,rango_edad_45-59,rango_edad_60+,tipo_persona_Conductor,tipo_persona_Pasajero,tipo_persona_Peatón,positiva_alcohol,cod_lesividad
21,6,5,450288.0,4479976.0,1,3,14,50,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1
5,7,6,442224.0,4476924.0,1,3,15,30,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1
7,3,5,440689.0,4476667.0,1,3,17,32,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5
16,0,5,445513.0,4480025.0,1,3,17,10,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
15,0,3,446281.0,4475816.0,1,3,16,30,1,2,0,0,0,3,0,0,0,0,0,0,0,1,2,0,2,1,0,0,2
6,0,5,440438.0,4480516.0,1,3,15,40,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,1,0,0,1
1,6,0,440695.0,4473063.0,1,3,18,45,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
14,8,0,445838.0,4472491.0,1,3,19,20,2,1,1,0,0,4,0,0,0,1,0,0,1,0,1,1,3,1,0,1,1
2,0,5,442617.0,4471712.0,1,3,19,5,1,2,0,0,0,3,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0
16,7,0,444551.0,4480917.0,1,3,20,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
8,0,6,442991.0,4481715.0,1,3,19,20,1,3,0,0,0,4,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0
17,0,0,438629.0,4465824.0,1,3,19,45,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
13,4,0,443684.0,4473027.0,1,2,21,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,4,6,444528.0,4475119.0,1,3,20,50,0,1,3,0,0,3,1,0,0,3,0,0,0,1,0,0,4,0,0,0,1
10,9,0,435572.0,4472217.0,1,3,7,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0
14,6,5,444635.0,4473514.0,1,3,21,25,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0
3,3,3,442579.0,4472778.0,1,3,21,11,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,4
4,0,6,443003.0,4476718.0,1,3,22,20,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
19,3,5,448385.0,4473009.0,1,3,23,55,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
12,7,0,440311.0,4470318.0,1,3,23,25,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
1,6,5,439743.0,4473412.0,1,4,0,15,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2
18,4,6,445873.0,4469403.0,1,4,3,20,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
